route,routeName,tsm_id,street,locality,city,district,state,country,pincode,class,landline,mobile,fax,email,contact_person,latitude,longitude,Sales Rep name,Territory Manager name,id,external_id,name,stage,retailer_created_date,retailer_created_by,retailer_created_by_name,modified_date,modified_by,deleted_date,deleted_by,CF_Collections Due,Profile Completeness,SR_status,Verified (Y/N),Deptt.,Sub_Deptt.,name,Shop_Code,zxc,zxc
274505,Anil Sharmas Route,170866,"1-2, Sahed Bhagat Singh, Marg, Gole Market, New De",Gole Market,Delhi,New Delhi,Delhi,,,,,9990662564,,,s c mehta,28.6337263,77.2062992,Anil Sharma,Rajan Lajras,3413384,ISOFF52,DSCSC-GOLE MARKET,NA,15-03-2018 14:21,169480,Maneesh Kumar,03-05-2018 17:56,Maneesh Kumar,,,,62,Active,,DSCSC,Govt,GOLE MARKET,P0005,#N/A,#N/A
274508,Sanjay Kumars Route,170866,"10.0, Lok Nayak Bhawan, Khan Market , New Delhi, D",Khan Market,Delhi,New Delhi,Delhi,,,,,9810112411,,,B S Rana,28.6010464,77.2262944,Sanjay Kumar,Rajan Lajras,3413507,ISOFF175,DSCSC-LOK NAYAK BHAWAN,NA,15-03-2018 14:21,169480,Maneesh Kumar,12-04-2018 19:42,Maneesh Kumar,,,,62,Active,,DSCSC,Govt,LOK NAYAK BHAWAN,P0006,#N/A,#N/A
274508,Sanjay Kumars Route,170866,"E-52, Hauz Khas, Main Market New Delhi, New Delhi, Delhi",Hauz Khas,Delhi,New Delhi,Delhi,India,,,,,,,,0,0,Sanjay Kumar,Rajan Lajras,3413417,ISOFF85,DSIIDC-HAUZ KHAS,NA,15-03-2018 14:21,169480,Maneesh Kumar,12-04-2018 19:42,Maneesh Kumar,,,,13,Active,,DSIIDC,Govt,HAUZ KHAS,P0011,#N/A,#N/A
274504,Rajinder Singhs Route,170866,"Shopping Centre, Zamroodpur , New Delhi, Delhi",Zamroodpur,Delhi,New Delhi,Delhi,,,,,9810600845,,,MR.Anil,28.556236,77.2379076,Rajinder Singh,Rajan Lajras,3413526,ISOFF194,DSCSC-ZAMRUDPUR,NA,15-03-2018 14:21,169480,Maneesh Kumar,12-04-2018 19:42,Maneesh Kumar,,,,62,Active,,DSCSC,Govt,ZAMRUDPUR,P0014,#N/A,#N/A
274504,Rajinder Singhs Route,170866,"J-12, Lsc Market, Saket , New Delhi, Delhi",Saket,Delhi,New Delhi,Delhi,,,,,8860913302,,,MR.Chander parkash,28.5228385,77.2151763,Rajinder Singh,Rajan Lajras,3413654,ISOFF321,DSIIDC-SAKET,NA,15-03-2018 14:21,169480,Maneesh Kumar,12-04-2018 19:42,Maneesh Kumar,,,,62,Active,,DSIIDC,Govt,SAKET,P0015,#N/A,#N/A
274509,Dhiraj Mishras Route,170866,"1/1666, Govind Puri, Extn. , New Delhi, Delhi",Govind Puri Extn,Delhi,New Delhi,Delhi,,,,,9711229443,,,deepak g,28.5336072,77.2593734,Dhiraj Mishra,Rajan Lajras,3413498,ISOFF166,DSCSC-GOVIND PURI,NA,15-03-2018 14:21,169480,Maneesh Kumar,16-04-2018 15:40,Maneesh Kumar,,,,62,Active,,DSCSC,Govt,GOVIND PURI,P0016,#N/A,#N/A
274509,Dhiraj Mishras Route,170866,"Ta-42, Mall Road, Tkd Ext. , New Delhi, Delhi",Tkd Extention,Delhi,New Delhi,Delhi,,,,,9313444038,,,BD verma,28.5261057,77.2583334,Dhiraj Mishra,Rajan Lajras,3413525,ISOFF193,DSCSC-TKD EXTN.,NA,15-03-2018 14:21,169480,Maneesh Kumar,12-04-2018 19:42,Maneesh Kumar,,,,62,Active,,DSCSC,Govt,TKD EXTN.,P0017,#N/A,#N/A
274511,Vineet Kumar Ranas Route,170867,"8-8A, Main Gtk Road, Opp Khushi Ram Bihari Lal God",Alipur (G T Karnal Rd),Delhi,North West Delhi,Delhi,,,,,9996848540,,,H N Pardhan,28.7892751,77.1400303,Vineet Kumar Rana,Sanjeev Kumar,3413890,ISOFF749,DSCSC-G.T.KARNAL ROAD,NA,15-03-2018 14:21,169480,Maneesh Kumar,12-04-2018 19:42,Maneesh Kumar,,,,62,Active,,DSCSC,Govt,G.T.KARNAL ROAD,P0021,#N/A,#N/A
274510,Rahul Sharmas Route,170866,"Xv- 3069,D.B. Gupta Road, Pahar Ganj , New Delhi,",Paharganj,Delhi,Central Delhi,Delhi,,,,,9278456397,,,Harish Sharma,28.6454605,77.2115352,Rahul Sharma,Rajan Lajras,3413369,ISOFF37,DSCSC-PAHARGANJ,NA,15-03-2018 14:21,169480,Maneesh Kumar,12-04-2018 19:42,Maneesh Kumar,,,,62,Active,,DSCSC,Govt,PAHARGANJ,P0024,#N/A,#N/A
274510,Rahul Sharmas Route,170866,"5405-06, Karol Bagh, Arya Smaj Road, New Delhi, De",Karol Bagh,Delhi,Central Delhi,Delhi,,,,,9811008724,,,Mr koopor,28.6523666,77.1853582,Rahul Sharma,Rajan Lajras,3413359,ISOFF27,DSCSC-KAROL BAGH,NA,15-03-2018 14:21,169480,Maneesh Kumar,12-04-2018 19:42,Maneesh Kumar,,,,62,Active,,DSCSC,Govt,KAROL BAGH,P0025,#N/A,#N/A
274710,Jatinder Pal Singhs Routes,171026,"1-B, B-Block Shopping Centre, Jail Road, New Delhi",,Delhi,West Delhi,Delhi,,,,,8527121215,,,shravan,28.631421,77.0985527,Jitender Pal,Jitender Rajokharia,3421342,ISOFF504,DSIIDC-JAIL ROAD,NA,16-03-2018 15:46,169480,Maneesh Kumar,12-04-2018 19:42,Maneesh Kumar,,,,62,Active,,DSIIDC,Govt,JAIL ROAD,P0027,#N/A,#N/A
