x,routeName,distributor,distributor_name,tsm_id,is_available,type,subType,chain,street,locality,city,district,state,country,pincode,class,landline,mobile,fax,email,contact_person,latitude,longitude,Sales Rep name,Territory Manager name,id,external_id,name,stage,retailer_created_date,retailer_created_by,retailer_created_by_name,modified_date,modified_by,deleted_date,deleted_by,CF_Collections Due,Profile Completeness,Shop Code
,,,,170866,1,GT,,,"Shop No.G-1, G-2, Nidhi Plaza, Gulabi Bagh New Delhi, New Delhi, Delhi",Gulabi Bagh,Delhi,South West Delhi,Delhi,India,,,,,,,,,,,Rajan Lajras,3413333,ISOFF1,Shymlee Chandel,NA,15-03-2018 14:21,169480,Maneesh Kumar,15-03-2018 14:21,Maneesh Kumar,,,,18,9SC3
274505,Anil Sharmas Route,555969,Indospirit Distribution Limited,170866,1,GT,,,"Shop No.1,2 & 3 Located At New, Delhi Airport Expr",Ajmeri Gate,Delhi,Central Delhi,Delhi,,,,,9582900098,,,vinod singh,28.6421568,77.2240543,Anil Sharma,Rajan Lajras,3413337,ISOFF5,A 2 Z Trade Links Pvt Ltd,NA,15-03-2018 14:21,169480,Maneesh Kumar,05-04-2018 15:38,Anil Sharma,,,,62,9ATZ
274510,Rahul Sharmas Route,555969,Indospirit Distribution Limited,170866,1,GT,,,"5570/75 Padam Singh Road, Raigar Pura, Karol Bagh,",Karol Bagh,Delhi,Central Delhi,Delhi,,,,,9911111977,,,Bhaanu ji,28.6516717,77.185025,Rahul Sharma,Rajan Lajras,3413338,ISOFF6,A R International,NA,15-03-2018 14:21,169480,Maneesh Kumar,24-04-2018 14:00,Rahul Sharma,,,,62,PV02609
274510,Rahul Sharmas Route,555969,Indospirit Distribution Limited,170866,1,GT,,,"Shop No- 9780,9781 & 9782, Desh Raj Bhatia Marg, P",Paharganj,Delhi,Central Delhi,Delhi,,,,,9891210351,,,Dubey ji,28.6456967,77.2100962,Rahul Sharma,Rajan Lajras,3413339,ISOFF7,Ajay Kumar,NA,15-03-2018 14:21,169480,Maneesh Kumar,19-04-2018 12:40,Rahul Sharma,,,,62,9AJY
274510,Rahul Sharmas Route,555969,Indospirit Distribution Limited,170866,1,GT,,,"Shop No. 7/3, Dbg Road, Paharganj, New Delhi, Delh",Paharganj,Delhi,Central Delhi,Delhi,,,,,9810612324,,,Vipin kalra,28.645399,77.2118465,Rahul Sharma,Rajan Lajras,3413340,ISOFF8,Anju Kalra,NA,15-03-2018 14:21,169480,Maneesh Kumar,15-04-2018 13:50,Rahul Sharma,,,,62,9AKL
274510,Rahul Sharmas Route,555969,Indospirit Distribution Limited,170866,1,GT,,,"2711.0, Main Sadar Thana Road, New Delhi, Delhi",Sadar Thana,Delhi,Central Delhi,Delhi,,,,,9350806633,,,Sunil ji,28.6547058,77.2114725,Rahul Sharma,Rajan Lajras,3413342,ISOFF10,Chadha Motor Tpt Co.,NA,15-03-2018 14:21,169480,Maneesh Kumar,19-04-2018 12:47,Rahul Sharma,,,,62,9CMP
274510,Rahul Sharmas Route,555969,Indospirit Distribution Limited,170866,1,GT,,,"Shop No. G 30, 33, 34, 35 Ground Floor Vardhman Di",Motia Khan,Delhi,Central Delhi,Delhi,,,,,9953233037,,,Mohit Rajput,28.6466887,77.2074389,Rahul Sharma,Rajan Lajras,3413343,ISOFF11,Chaudhary Trading Company,NA,15-03-2018 14:21,169480,Maneesh Kumar,24-04-2018 13:27,Rahul Sharma,,,,62,PV03261
274505,Anil Sharmas Route,555969,Indospirit Distribution Limited,170866,1,GT,,,"Shop No. 29, Ground Floor, Punhckuinyan Road, New ",Punhckuinyan Road,Delhi,Central Delhi,Delhi,,,,,9811647413,,,mr anil,28.6387328,77.2097329,Anil Sharma,Rajan Lajras,3413344,ISOFF12,Chirag Wires Pvt Ltd,NA,15-03-2018 14:21,169480,Maneesh Kumar,10-04-2018 17:13,Anil Sharma,,,,62,9CHI
274510,Rahul Sharmas Route,555969,Indospirit Distribution Limited,170866,1,GT,,,"Plot No. 10, H.No. 8592/93, Arakashan Road, Qutub ",Arakashan Road,Delhi,Central Delhi,Delhi,,,,,9811153081,,,Ashok ji,28.6451183,77.2178441,Rahul Sharma,Rajan Lajras,3413355,ISOFF23,G.K. Trading,NA,15-03-2018 14:21,169480,Maneesh Kumar,22-04-2018 12:29,Rahul Sharma,,,,62,9GKT
274510,Rahul Sharmas Route,555969,Indospirit Distribution Limited,170866,1,GT,,,"16/10194, Shop No.-1, Karol Bagh Mall, Gurudwara R",Karol Bagh,Delhi,Central Delhi,Delhi,,,,,7838190506,,,Gurpreet,28.647882,77.1922965,Rahul Sharma,Rajan Lajras,3413356,ISOFF24,Hasco Systems Pvt. Ltd.,NA,15-03-2018 14:21,169480,Maneesh Kumar,14-04-2018 15:07,Rahul Sharma,,,,62,PV03039
274510,Rahul Sharmas Route,555969,Indospirit Distribution Limited,170866,1,GT,,,"5410, Arya Samaj Road, Kikarwala Chowk Karol Bagh,",Karol Bagh,Delhi,Central Delhi,Delhi,,,,,9899872072,,,Sumit,28.652261,77.185538,Rahul Sharma,Rajan Lajras,3413357,ISOFF25,Hot Million Deptartmental Stor,NA,15-03-2018 14:21,169480,Maneesh Kumar,05-04-2018 14:51,Rahul Sharma,,,,62,9HMD
274510,Rahul Sharmas Route,555969,Indospirit Distribution Limited,170866,1,GT,,,"P. No. 2661 & 2662, Main Sadar Thana Road, New Del",Sadar Thana,Delhi,Central Delhi,Delhi,,,,,9278032532,,,Ramit ji,28.6561991,77.2119831,Rahul Sharma,Rajan Lajras,3413362,ISOFF30,Krishan Kumar Garg,NA,15-03-2018 14:21,169480,Maneesh Kumar,19-04-2018 12:53,Rahul Sharma,,,,62,9KKG
274510,Rahul Sharmas Route,555969,Indospirit Distribution Limited,170866,1,GT,,,"9648/12,Multani Dhanda, Pahar Ganj, Delhi, Delhi, ",Paharganj,Delhi,Central Delhi,Delhi,,,,,9873990241,,,Abhisek ji,28.6485666,77.2102392,Rahul Sharma,Rajan Lajras,3413363,ISOFF31,Laxmi Narayan Narender Kumar,NA,15-03-2018 14:21,169480,Maneesh Kumar,14-04-2018 18:05,Rahul Sharma,,,,62,PV03428
274510,Rahul Sharmas Route,555969,Indospirit Distribution Limited,170866,1,GT,,,"Shop No. 22 Anantraj Galleria Mall, Gurudwara Road",Karol Bagh,Delhi,Central Delhi,Delhi,,,,,8826315701,,,Sami,28.6477789,77.1922321,Rahul Sharma,Rajan Lajras,3413364,ISOFF32,M/S Dazzling Drinks Pvt. Ltd.,NA,15-03-2018 14:21,169480,Maneesh Kumar,14-04-2018 15:01,Rahul Sharma,,,,62,PV03037
274505,Anil Sharmas Route,555969,Indospirit Distribution Limited,170866,1,GT,,,"8790 Roshanara Road, Delhi , New Delhi, Delhi",Roshanara Road,Delhi,Central Delhi,Delhi,,,,,9899088014,,,rinkey maan,28.6671369,77.2079075,Anil Sharma,Rajan Lajras,3413365,ISOFF33,Mohan Lal L-7,NA,15-03-2018 14:21,169480,Maneesh Kumar,10-04-2018 17:40,Anil Sharma,,,,62,9LAL
274505,Anil Sharmas Route,555969,Indospirit Distribution Limited,170866,1,GT,,,"Shop.No.5201 Shardanand, Market Gt Road Delhi, New",Shardanand Market,Delhi,Central Delhi,Delhi,,,,,9717963422,,,sandep yadab,28.6474434,77.2228416,Anil Sharma,Rajan Lajras,3413367,ISOFF35,Nirmal Takkar,NA,15-03-2018 14:21,169480,Maneesh Kumar,12-05-2018 17:40,Anil Sharma,,,,62,9KKT
274510,Rahul Sharmas Route,555969,Indospirit Distribution Limited,170866,1,GT,,,"Shop No. 2227, Hardhyan Singh Road, Karol Bagh, Ne",Karol Bagh,Delhi,Central Delhi,Delhi,,,,,9953031669,,,A S rana,28.6487765,77.1940817,Rahul Sharma,Rajan Lajras,3413371,ISOFF39,Ram Diya 2,NA,15-03-2018 14:21,169480,Maneesh Kumar,24-04-2018 15:17,Rahul Sharma,,,,62,9RD2
274510,Rahul Sharmas Route,555969,Indospirit Distribution Limited,170866,1,GT,,,"5419.0, Arya Samaj Road, Karol Bagh, New Delhi, De",Karol Bagh,Delhi,Central Delhi,Delhi,,,,,9899465486,,,Dev anand singh,28.6518347,77.1859777,Rahul Sharma,Rajan Lajras,3413373,ISOFF41,Shyamlee Chandel 2,NA,15-03-2018 14:21,169480,Maneesh Kumar,06-04-2018 17:16,Rahul Sharma,,,,62,9SC2
274510,Rahul Sharmas Route,555969,Indospirit Distribution Limited,170866,1,GT,,,"Shop No. 13 A, Ground Floor, Karol Bagh Mall, Karo",Karol Bagh,Delhi,Central Delhi,Delhi,,,,,9996191631,,,Anil ji,28.6479628,77.1918642,Rahul Sharma,Rajan Lajras,3413374,ISOFF42,Space Villa Private Limited,NA,15-03-2018 14:21,169480,Maneesh Kumar,14-04-2018 15:10,Rahul Sharma,,,,62,PV03329
